nome,casa,partido,eixo,escopo,valor_pct,n_observacoes,n_oportunidades,periodo_inicio,periodo_fim,metodologia_versao,url_perfil
"Afonso Hamm","camara","PP","Alinhamento com o governo federal","merito","49.6","353","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/afonso-hamm/"
"Afonso Hamm","camara","PP","Alinhamento com o governo federal","procedimental","50.2","307","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/afonso-hamm/"
"Afonso Hamm","camara","PP","Coesão com o próprio partido","merito","70.2","450","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/afonso-hamm/"
"Afonso Hamm","camara","PP","Coesão com o próprio partido","procedimental","67.5","388","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/afonso-hamm/"
"Afonso Motta","camara","PDT","Alinhamento com o governo federal","merito","85.7","391","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/afonso-motta/"
"Afonso Motta","camara","PDT","Alinhamento com o governo federal","procedimental","88.3","359","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/afonso-motta/"
"Afonso Motta","camara","PDT","Coesão com o próprio partido","merito","92.0","485","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/afonso-motta/"
"Afonso Motta","camara","PDT","Coesão com o próprio partido","procedimental","94.9","467","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/afonso-motta/"
"Alceu Moreira","camara","MDB","Alinhamento com o governo federal","merito","59.8","408","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/alceu-moreira/"
"Alceu Moreira","camara","MDB","Alinhamento com o governo federal","procedimental","56.5","329","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/alceu-moreira/"
"Alceu Moreira","camara","MDB","Coesão com o próprio partido","merito","75.4","505","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/alceu-moreira/"
"Alceu Moreira","camara","MDB","Coesão com o próprio partido","procedimental","73.5","423","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/alceu-moreira/"
"Alexandre Lindenmeyer","camara","PT","Alinhamento com o governo federal","merito","95.8","378","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/alexandre-lindenmeyer/"
"Alexandre Lindenmeyer","camara","PT","Alinhamento com o governo federal","procedimental","98.4","312","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/alexandre-lindenmeyer/"
"Alexandre Lindenmeyer","camara","PT","Coesão com o próprio partido","merito","96.4","469","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/alexandre-lindenmeyer/"
"Alexandre Lindenmeyer","camara","PT","Coesão com o próprio partido","procedimental","98.8","401","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/alexandre-lindenmeyer/"
"Any Ortiz","camara","PP","Alinhamento com o governo federal","merito","35.4","384","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/any-ortiz/"
"Any Ortiz","camara","PP","Alinhamento com o governo federal","procedimental","30.5","357","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/any-ortiz/"
"Any Ortiz","camara","PP","Coesão com o próprio partido","merito","64.0","400","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/any-ortiz/"
"Any Ortiz","camara","PP","Coesão com o próprio partido","procedimental","54.1","390","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/any-ortiz/"
"Bibo Nunes","camara","PL","Alinhamento com o governo federal","merito","32.7","404","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/bibo-nunes/"
"Bibo Nunes","camara","PL","Alinhamento com o governo federal","procedimental","24.6","345","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/bibo-nunes/"
"Bibo Nunes","camara","PL","Coesão com o próprio partido","merito","95.0","521","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/bibo-nunes/"
"Bibo Nunes","camara","PL","Coesão com o próprio partido","procedimental","94.7","457","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/bibo-nunes/"
"Bohn Gass","camara","PT","Alinhamento com o governo federal","merito","97.3","410","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/bohn-gass/"
"Bohn Gass","camara","PT","Alinhamento com o governo federal","procedimental","98.7","384","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/bohn-gass/"
"Bohn Gass","camara","PT","Coesão com o próprio partido","merito","97.9","524","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/bohn-gass/"
"Bohn Gass","camara","PT","Coesão com o próprio partido","procedimental","99.4","495","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/bohn-gass/"
"Carlos Gomes","camara","REPUBLICANOS","Alinhamento com o governo federal","merito","85.3","102","179","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/carlos-gomes/"
